27
ALA 0 0
ARG 5 729
N CA CB CG
CA CB CG CD
CB CG CD NE
CG CD NE CZ
CD NE CZ NH1
63.4 173.5 -66.7 173.2 180.0
63.4 -176.5 -66.7 173.2 180.0
63.4 -166.5 -66.7 173.2 180.0
73.4 173.5 -66.7 173.2 180.0
73.4 -176.5 -66.7 173.2 180.0
73.4 -166.5 -66.7 173.2 180.0
52.9 169.9 -69.2 -82.5 180.0
52.9 179.9 -69.2 -82.5 180.0
52.9 -170.1 -69.2 -82.5 180.0
62.9 169.9 -69.2 -82.5 180.0
62.9 179.9 -69.2 -82.5 180.0
62.9 -170.1 -69.2 -82.5 180.0
72.9 169.9 -69.2 -82.5 180.0
72.9 179.9 -69.2 -82.5 180.0
72.9 -170.1 -69.2 -82.5 180.0
55.2 -95.1 84.2 84.5 180.0
55.2 -85.1 84.2 84.5 180.0
55.2 -75.1 84.2 84.5 180.0
65.2 -95.1 84.2 84.5 180.0
65.2 -85.1 84.2 84.5 180.0
65.2 -75.1 84.2 84.5 180.0
75.2 -95.1 84.2 84.5 180.0
75.2 -85.1 84.2 84.5 180.0
75.2 -75.1 84.2 84.5 180.0
53.2 -95.5 80.7 -172.0 180.0
53.2 -85.5 80.7 -172.0 180.0
53.2 -75.5 80.7 -172.0 180.0
63.2 -95.5 80.7 -172.0 180.0
63.2 -85.5 80.7 -172.0 180.0
63.2 -75.5 80.7 -172.0 180.0
73.2 -95.5 80.7 -172.0 180.0
73.2 -85.5 80.7 -172.0 180.0
73.2 -75.5 80.7 -172.0 180.0
53.6 -92.1 71.6 -103.2 180.0
53.6 -82.1 71.6 -103.2 180.0
53.6 -72.1 71.6 -103.2 180.0
63.6 -92.1 71.6 -103.2 180.0
63.6 -82.1 71.6 -103.2 180.0
63.6 -72.1 71.6 -103.2 180.0
73.6 -92.1 71.6 -103.2 180.0
73.6 -82.1 71.6 -103.2 180.0
73.6 -72.1 71.6 -103.2 180.0
53.6 -88.2 -179.8 85.7 180.0
53.6 -78.2 -179.8 85.7 180.0
53.6 -68.2 -179.8 85.7 180.0
63.6 -88.2 -179.8 85.7 180.0
63.6 -78.2 -179.8 85.7 180.0
63.6 -68.2 -179.8 85.7 180.0
73.6 -88.2 -179.8 85.7 180.0
73.6 -78.2 -179.8 85.7 180.0
73.6 -68.2 -179.8 85.7 180.0
47.6 -93.1 -176.1 -178.4 180.0
47.6 -83.1 -176.1 -178.4 180.0
47.6 -73.1 -176.1 -178.4 180.0
57.6 -93.1 -176.1 -178.4 180.0
57.6 -83.1 -176.1 -178.4 180.0
57.6 -73.1 -176.1 -178.4 180.0
67.6 -93.1 -176.1 -178.4 180.0
67.6 -83.1 -176.1 -178.4 180.0
67.6 -73.1 -176.1 -178.4 180.0
